"","Alabama","Arkansas","California","Colorado","Florida","Georgia","Illinois","Indiana","Iowa","Kansas","Kentucky","Maryland","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","South Carolina","South Dakota","Tennessee","Texas","Unknown","Utah","Virginia","Wisconsin","Wyoming"
"Missouri",0.227529614285879,0.236451806855246,0.324302273852392,0.581886097791859,0.736699258672426,1.14462555370462,0.0587028685751811,0.352206442904989,0.084366679263396,0.157677665483954,0.736699258672426,0.580898438237249,0.319539735697678,0.089893151551891,0.687719678261453,0,1.17470638887089,0.159915039842826,0.687719678261453,0.541853818175846,0.227529614285879,0.323598784143175,0.118247850649877,0.687719678261453,0.423657384439235,0.554310997048978,0.154626163670653,0.736699258672426,0.331038159197367,0.214815666022571,0.736699258672426,0.578545989365746,0.456916085683585,0.687719678261453
"Montana",1.24721912892465,1.22733194937481,1.18634202800348,0.623609564462324,1.4142135623731,1.4142135623731,1.1893638909859,1.20357074169495,1.1588966155105,1.08351138138012,1.4142135623731,1.34256066373273,1.21380943040221,1.16064621078734,1.4142135623731,1.17470638887089,0,1.14132136758228,1.4142135623731,1.19629965505639,1.24721912892465,1.25568110637943,1.20846578506502,1.4142135623731,1.15981362850242,1.2747548783982,1.15864466810093,1.4142135623731,0.935414346693485,1.09812674721144,1.4142135623731,1.31233464566864,1.29614813968157,1.4142135623731
"Nebraska",0.118676021799162,0.38386403835336,0.473665271125114,0.589421183436266,0.877699492755788,1.20323553572128,0.112347248164957,0.505456217649705,0.236365756387472,0.278642860360648,0.877699492755788,0.721702299581594,0.474207263352245,0.228208801550937,0.550104048430745,0.159915039842826,1.14132136758228,0,0.550104048430745,0.671356729421363,0.118676021799162,0.202416365358527,0.25688254598852,0.550104048430745,0.48736609104804,0.462498418030312,0.0182043417701302,0.877699492755788,0.401852500106484,0.349105179207115,0.877699492755788,0.464431804871158,0.597334087832758,0.550104048430745
"New York",0.471404520791032,0.916338936905719,0.981306762925316,1.02740233382816,1.4142135623731,1.4142135623731,0.633476535722603,1.02546515540304,0.771047886222623,0.803877562693766,1.4142135623731,1.25707872210942,1.00332779621949,0.769518625604707,0,0.687719678261453,1.4142135623731,0.550104048430745,0,1.12631642759783,0.471404520791032,0.365289025083022,0.786935866729753,0,0.823711713036359,0.353553390593274,0.546789910339565,1.4142135623731,0.935414346693485,0.891132788679007,1.4142135623731,0.235702260395516,1.13137084989848,0
"North Carolina",0.740625327729196,0.478788589149706,0.253566683975356,0.680537503898915,0.66463040210467,0.763594347533794,0.594764017988146,0.285388238519403,0.481487706792873,0.411846343649079,0.66463040210467,0.579720190025946,0.356153713655299,0.520903001467411,1.12631642759783,0.541853818175846,1.19629965505639,0.671356729421363,1.12631642759783,0,0.740625327729196,0.788495608281731,0.536818203774419,1.12631642759783,0.347140275087421,0.849829749540422,0.670161567166211,0.66463040210467,0.520381759520929,0.40871818324887,0.66463040210467,0.936247219515456,0.535821421871875,1.12631642759783
"North Dakota",0,0.446266928499649,0.544331053951817,0.707106781186548,0.942809041582063,1.24721912892465,0.169510611535214,0.57660875934231,0.311488702465209,0.370080905402062,0.942809041582063,0.785674201318386,0.543650214343336,0.303938319941177,0.471404520791032,0.227529614285879,1.24721912892465,0.118676021799162,0.471404520791032,0.740625327729196,0,0.124306510293374,0.316318287111377,0.471404520791032,0.534170939897427,0.424918292799399,0.105149896505606,0.942809041582063,0.513701166914081,0.439101876010955,0.942809041582063,0.408248290463863,0.659966329107444,0.471404520791032
"Ohio",0.124306510293374,0.554305893275512,0.620531085944533,0.755271425628385,1.05490166136236,1.21817549464912,0.270952091283551,0.661726350427454,0.406826595771728,0.445499316091803,1.05490166136236,0.898034793636077,0.638054110394347,0.408056601623008,0.365289025083022,0.323598784143175,1.25568110637943,0.202416365358527,0.365289025083022,0.788495608281731,0.124306510293374,0,0.426765662007724,0.365289025083022,0.5327145557692,0.309943442946429,0.194637297854143,1.05490166136236,0.599125642719147,0.529903868116331,1.05490166136236,0.284155247569437,0.772619716604022,0.365289025083022
"Oklahoma",0.316318287111377,0.130871146554273,0.291250880353336,0.594938097416832,0.628465586110446,1.20070727693629,0.158175547152717,0.296668674375155,0.0830069172779107,0.182044943170783,0.628465586110446,0.471550895564495,0.245362258273271,0.0535192017875408,0.786935866729753,0.118247850649877,1.20846578506502,0.25688254598852,0.786935866729753,0.536818203774419,0.316318287111377,0.426765662007724,0,0.786935866729753,0.494297755886125,0.670727616086606,0.252582369903843,0.628465586110446,0.303971872822474,0.172216093033571,0.628465586110446,0.691781708097484,0.346162976081005,0.786935866729753
"Oregon",0.471404520791032,0.916338936905719,0.981306762925316,1.02740233382816,1.4142135623731,1.4142135623731,0.633476535722603,1.02546515540304,0.771047886222623,0.803877562693766,1.4142135623731,1.25707872210942,1.00332779621949,0.769518625604707,0,0.687719678261453,1.4142135623731,0.550104048430745,0,1.12631642759783,0.471404520791032,0.365289025083022,0.786935866729753,0,0.823711713036359,0.353553390593274,0.546789910339565,1.4142135623731,0.935414346693485,0.891132788679007,1.4142135623731,0.235702260395516,1.13137084989848,0
"Pennsylvania",0.534170939897427,0.524730824047936,0.370392285128555,0.672313364211636,0.912330608956779,0.724330609837207,0.450470259683003,0.43774219887685,0.417770421942376,0.351945196218193,0.912330608956779,0.785953089406677,0.47828589405261,0.462827295829254,0.823711713036359,0.423657384439235,1.15981362850242,0.48736609104804,0.823711713036359,0.347140275087421,0.534170939897427,0.5327145557692,0.494297755886125,0.823711713036359,0,0.514819820647725,0.485233146781212,0.912330608956779,0.54506029921747,0.433071310466244,0.912330608956779,0.612439533974163,0.69395814662717,0.823711713036359
"South Carolina",0.424918292799399,0.782135455543933,0.766787430102348,0.874007373475126,1.2747548783982,1.06066017177982,0.520339675627313,0.824817618202863,0.622487965514088,0.618328591376446,1.2747548783982,1.12285460730043,0.825631071766722,0.641734327251636,0.353553390593274,0.554310997048978,1.2747548783982,0.462498418030312,0.353553390593274,0.849829749540422,0.424918292799399,0.309943442946429,0.670727616086606,0.353553390593274,0.514819820647725,0,0.459277397428047,1.2747548783982,0.790569415042095,0.722536382149309,1.2747548783982,0.117851130197758,1.00249688278817,0.353553390593274
"South Dakota",0.105149896505606,0.38074251632742,0.471517382969137,0.605085914976754,0.876666654687204,1.20283219652854,0.103354272420407,0.503460848241853,0.234019408001503,0.280665674920664,0.876666654687204,0.720305245156138,0.471961144577791,0.226577730963435,0.546789910339565,0.154626163670653,1.15864466810093,0.0182043417701302,0.546789910339565,0.670161567166211,0.105149896505606,0.194637297854143,0.252582369903843,0.546789910339565,0.485233146781212,0.459277397428047,0,0.876666654687204,0.411863302519407,0.351106652231149,0.876666654687204,0.460983487879402,0.595509344983093,0.546789910339565
"Tennessee",0.942809041582063,0.501439680491938,0.544331053951817,0.849836585598797,0,1.4142135623731,0.785461541375667,0.477083585436138,0.659832768909639,0.672141868475715,0,0.157134840263677,0.454606056566195,0.652802428008825,1.4142135623731,0.736699258672426,1.4142135623731,0.877699492755788,1.4142135623731,0.66463040210467,0.942809041582063,1.05490166136236,0.628465586110446,1.4142135623731,0.912330608956779,1.2747548783982,0.876666654687204,0,0.612372435695794,0.568796458994521,0,1.31233464566864,0.282842712474619,1.4142135623731
"Texas",0.513701166914081,0.295340594733178,0.340206908719886,0.311804782231162,0.612372435695794,1.17260393995586,0.370735300602975,0.337408806270347,0.277630498209398,0.236519255082311,0.612372435695794,0.482726311027299,0.313581462037113,0.269981740954827,0.935414346693485,0.331038159197367,0.935414346693485,0.401852500106484,0.935414346693485,0.520381759520929,0.513701166914081,0.599125642719147,0.303971872822474,0.935414346693485,0.54506029921747,0.790569415042095,0.411863302519407,0.612372435695794,0,0.191741247211843,0.612372435695794,0.824957911384306,0.393700393700591,0.935414346693485
"Unknown",0.439101876010955,0.146075141428935,0.177736923410289,0.481690921432872,0.568796458994521,1.09812674721144,0.271119110294938,0.184564118475932,0.133984331653895,0.106842005942615,0.568796458994521,0.422239421734306,0.155928590996636,0.148130639533329,0.891132788679007,0.214815666022571,1.09812674721144,0.349105179207115,0.891132788679007,0.40871818324887,0.439101876010955,0.529903868116331,0.172216093033571,0.891132788679007,0.433071310466244,0.722536382149309,0.351106652231149,0.568796458994521,0.191741247211843,0,0.568796458994521,0.764831563327141,0.31248529377161,0.891132788679007
"Utah",0.942809041582063,0.501439680491938,0.544331053951817,0.849836585598797,0,1.4142135623731,0.785461541375667,0.477083585436138,0.659832768909639,0.672141868475715,0,0.157134840263677,0.454606056566195,0.652802428008825,1.4142135623731,0.736699258672426,1.4142135623731,0.877699492755788,1.4142135623731,0.66463040210467,0.942809041582063,1.05490166136236,0.628465586110446,1.4142135623731,0.912330608956779,1.2747548783982,0.876666654687204,0,0.612372435695794,0.568796458994521,0,1.31233464566864,0.282842712474619,1.4142135623731
"Virginia",0.408248290463863,0.812365979837906,0.827759134763963,0.912870929175277,1.31233464566864,1.17851130197758,0.535246343298003,0.881077684469071,0.654768163534438,0.665218334157114,1.31233464566864,1.15737036977776,0.873053390247253,0.666451167344726,0.235702260395516,0.578545989365746,1.31233464566864,0.464431804871158,0.235702260395516,0.936247219515456,0.408248290463863,0.284155247569437,0.691781708097484,0.235702260395516,0.612439533974163,0.117851130197758,0.460983487879402,1.31233464566864,0.824957911384306,0.764831563327141,1.31233464566864,0,1.03387082795139,0.235702260395516
"Wisconsin",0.659966329107444,0.221559951244322,0.331103653905585,0.684754619472471,0.282842712474619,1.29614813968157,0.50380390098372,0.269077600300057,0.383674855719324,0.413114488062224,0.282842712474619,0.125707872210942,0.216024689946929,0.3732995995737,1.13137084989848,0.456916085683585,1.29614813968157,0.597334087832758,1.13137084989848,0.535821421871875,0.659966329107444,0.772619716604022,0.346162976081005,1.13137084989848,0.69395814662717,1.00249688278817,0.595509344983093,0.282842712474619,0.393700393700591,0.31248529377161,0.282842712474619,1.03387082795139,0,1.13137084989848
"Wyoming",0.471404520791032,0.916338936905719,0.981306762925316,1.02740233382816,1.4142135623731,1.4142135623731,0.633476535722603,1.02546515540304,0.771047886222623,0.803877562693766,1.4142135623731,1.25707872210942,1.00332779621949,0.769518625604707,0,0.687719678261453,1.4142135623731,0.550104048430745,0,1.12631642759783,0.471404520791032,0.365289025083022,0.786935866729753,0,0.823711713036359,0.353553390593274,0.546789910339565,1.4142135623731,0.935414346693485,0.891132788679007,1.4142135623731,0.235702260395516,1.13137084989848,0
