FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Kansas	Michigan	0.781228475515187	0.04321742028663482
Kansas	Minnesota	1.2972122378774422	0.06977002555271636
Kansas	Mississippi	1.0431479574329026	0.056882568603488504
Kansas	Missouri	0.7686431635362916	0.04255082768581269
Kansas	Nebraska	1.2573280329406193	0.06777024775024998
Kansas	North_Carolina	0.7686431635362916	0.04255082768581269
Kansas	Ohio	0.6789587084930582	0.03777358071325408
Kansas	Oklahoma	1.0172611828121219	0.05554938340184424
Kansas	Pennsylvania	0.7309921537763628	0.0405510498833463
Kansas	South_Carolina	1.0626111181980489	0.0578824575047217
Kansas	South_Dakota	0.6706612205121396	0.03732918564603933
Kansas	Virginia	0.6748090066949133	0.03755138317964671
Kansas	Wyoming	0.8889158786678597	0.04888345739362293
Michigan	Minnesota	1.5174035748041876	0.08065770469947783
Michigan	Mississippi	1.1343308802077805	0.06154871680924342
Michigan	Missouri	0.8676996955983934	0.04777246972558605
Michigan	Nebraska	1.1758788518139989	0.0636595933785135
Michigan	North_Carolina	2.350735257028637	0.11965337184757249
Michigan	Ohio	1.1234282503507171	0.06099322297522498
Michigan	Oklahoma	1.3172187158559745	0.07076991445394956
Michigan	Pennsylvania	1.5675530138578009	0.08310187756915899
Michigan	South_Carolina	2.5865901394547968	0.13009665592711922
Michigan	South_Dakota	1.2242216755831739	0.06610376624819464
Michigan	Virginia	1.3909456250408159	0.07443617375847128
Michigan	Wyoming	1.095141689518255	0.059548939006777026
Minnesota	Mississippi	38.542605407911324	0.6902566381513165
Minnesota	Missouri	0.8528778000189586	0.046994778357960225
Minnesota	Nebraska	32.92277283633651	0.6555938229085657
Minnesota	North_Carolina	0.3409326595275717	0.019331185423841796
Minnesota	Ohio	0.26335315532068343	0.014998333518497945
Minnesota	Oklahoma	3.9805356399083145	0.1870903232974114
Minnesota	Pennsylvania	0.9550021747726694	0.052327519164537276
Minnesota	South_Carolina	0.453535419557575	0.02555271636484835
Minnesota	South_Dakota	0.726818394391332	0.04032885234973892
Minnesota	Virginia	0.6893413525195512	0.038329074547272524
Minnesota	Wyoming	5.2859827452526496	0.23408510165537164
Mississippi	Missouri	1.3417296253263808	0.07199200088879014
Mississippi	Nebraska	1.0474695369280373	0.05710476613709588
Mississippi	North_Carolina	1.2396565933281773	0.06688145761582047
Mississippi	Ohio	1.077777718013768	0.058660148872347516
Mississippi	Oklahoma	1.2132124636548924	0.0655482724141762
Mississippi	Pennsylvania	1.2022163330145486	0.06499277858015776
Mississippi	South_Carolina	1.1518019602034	0.06243750694367293
Mississippi	South_Dakota	1.1452464248123642	0.06210421064326186
Mississippi	Virginia	1.034510904524576	0.05643817353627375
Mississippi	Wyoming	1.7918926020714914	0.09387845794911677
Missouri	Nebraska	3.5643092564925722	0.17086990334407287
Missouri	North_Carolina	0.781228475515187	0.04321742028663482
Missouri	Ohio	0.9400375106477294	0.05154982779691145
Missouri	Oklahoma	2.3185567603001997	0.11820908787912454
Missouri	Pennsylvania	1.1365129552149291	0.061659815576047106
Missouri	South_Carolina	1.6248665397572586	0.0858793467392512
Missouri	South_Dakota	0.6727348742345177	0.037440284412843014
Missouri	Virginia	0.8486474148370962	0.04677258082435285
Missouri	Wyoming	1.9857449816905084	0.10298855682701923
Nebraska	North_Carolina	0.31698912660796646	0.017998000222197535
Nebraska	Ohio	0.2772273842966905	0.015776024886123764
Nebraska	Oklahoma	19.6647739800314	0.5320519942228641
Nebraska	Pennsylvania	0.30504172326814977	0.017331407621375403
Nebraska	South_Carolina	0.4151700963556573	0.02344183979557827
Nebraska	South_Dakota	0.785427477398041	0.04343961782024219
Nebraska	Virginia	0.318981937623669	0.018109098989001222
Nebraska	Wyoming	3.014579792029927	0.1484279524497278
North_Carolina	Ohio	1.217614577364924	0.06577046994778359
North_Carolina	Oklahoma	1.1081862217227876	0.060215531607599154
North_Carolina	Pennsylvania	0.8910402233534718	0.04899455616042662
North_Carolina	South_Carolina	1.1605499277625586	0.06288190201088768
North_Carolina	South_Dakota	0.8655807998534365	0.04766137095878236
North_Carolina	Virginia	7.744989765224064	0.30929896678146873
North_Carolina	Wyoming	1.0064965838155409	0.0549938895678258
Ohio	Oklahoma	5.784817014924737	0.25063881790912124
Ohio	Pennsylvania	1.945233211402329	0.10109987779135651
Ohio	South_Carolina	8.013673011866254	0.31663148539051217
Ohio	South_Dakota	0.5368927405242302	0.030107765803799577
Ohio	Virginia	1.173687446726564	0.0635484946117098
Ohio	Wyoming	1.217614577364924	0.06577046994778359
