FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
cluster_iv	alpha	3.510335192374129	0.27430285523830683
cluster_iva	alpha	0.6361083978845359	0.06410398844572825
cluster_ivb	alpha	1.410753012227989	0.1318742361959782
cluster_ive	alpha	1.7657875882459502	0.15976002666370404
delta1a	alpha	29.93966671554271	0.7632485279413399
delta1b	alpha	0.45001470498646967	0.04621708699033441
delta2	alpha	1.5326011783836087	0.1416509276747028
gamma	alpha	1.5172185757866719	0.14042884123986224
cluster_iv	beta	1.1061680606559066	0.10643261859793356
cluster_iva	beta	1.7424541675642125	0.15798244639484502
cluster_ivb	beta	1.5200121583844024	0.14065103877346963
cluster_ive	beta	1.3698387524122215	0.12854127319186756
delta1a	beta	0.5612878850187923	0.05699366737029219
delta1b	beta	96.65973756288449	0.9123430729918898
delta2	beta	1.467179915670633	0.13642928563492945
gamma	beta	1.5494322335549622	0.14298411287634707
cluster_iva	cluster_iv	1.073963269562728	0.10365514942784135
cluster_ivb	cluster_iv	1.423088622247011	0.13287412509721142
cluster_ive	cluster_iv	1.6244001099141783	0.14887234751694256
delta1a	cluster_iv	9.301418143804751	0.5003888456838129
delta1b	cluster_iv	159.92750356840415	0.9451172091989779
delta2	cluster_iv	1.4285802519063784	0.13331852016442616
gamma	cluster_iv	1.4810329905599868	0.13754027330296634
cluster_ivb	cluster_iva	1.3522062703766469	0.1270969892234196
cluster_ive	cluster_iva	1.4039121661267213	0.13131874236195978
delta1a	cluster_iva	0.557808347859699	0.05666037106988112
delta1b	cluster_iva	83582.65908839791	1.0
delta2	cluster_iva	1.388893057932893	0.13009665592711922
gamma	cluster_iva	1.4810329905599868	0.13754027330296634
cluster_ive	cluster_ivb	1.3943496667644124	0.13054105099433397
delta1a	cluster_ivb	0.5729041270640312	0.058104655038329074
delta1b	cluster_ivb	349.47675483414486	0.9741139873347406
delta2	cluster_ivb	1.5228071860009336	0.140873236307077
gamma	cluster_ivb	1.349498758379876	0.12687479168981225
delta1a	cluster_ive	19.1650276852373	0.6735918231307633
delta1b	cluster_ive	1.7628655129758428	0.15953782913009665
delta2	cluster_ive	1.627249401526882	0.14909454505054995
gamma	cluster_ive	1.5270024392895245	0.14120653260748806
delta1b	delta1a	41786.68606313849	0.9997778024663926
delta2	delta1a	1.6730412946327913	0.15264970558826796
gamma	delta1a	1.8186504804381256	0.16375958226863682
delta2	delta1b	1.6716044824388259	0.15253860682146428
gamma	delta1b	1.6960816381683423	0.15442728585712698
gamma	delta2	1.4327026713881075	0.13365181646483723
