FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
cluster_iva	delta2	395.1985275782787	0.9722253082990778
cluster_iva	location13	101610.8658497285	1.0
cluster_ivb	cluster_ivc	3.9639049872003116	0.2598600155538274
cluster_ivb	cluster_ivd	3.1777505977117846	0.21964226197089212
cluster_ivb	cluster_ive	4.610726192524861	0.2899677813576269
cluster_ivb	delta1a	0.45134295633881727	0.03844017331407621
cluster_ivb	delta1b	0.971264309186897	0.07921342073102988
cluster_ivb	delta2	0.731926265305689	0.06088212420842129
cluster_ivb	location13	1.6521039913590077	0.12765248305743807
cluster_ivc	cluster_ivd	7.287994461008607	0.392289745583824
cluster_ivc	cluster_ive	5.599077127687155	0.3315187201422064
cluster_ivc	delta1a	1.096807249610592	0.08854571714253971
cluster_ivc	delta1b	5.228459702462196	0.31652038662370846
cluster_ivc	delta2	0.8554943222546123	0.0704366181535385
cluster_ivc	location13	0.9653495187794131	0.07876902566381513
cluster_ivd	cluster_ive	2.690115095332697	0.19242306410398843
cluster_ivd	delta1a	1.2264890815710217	0.09798911232085324
cluster_ivd	delta1b	1.9007340055255681	0.14409510054438396
cluster_ivd	delta2	1.1437904879697354	0.09198977891345406
cluster_ivd	location13	1.2465625590854896	0.09943339628930119
cluster_ive	delta1a	1.2744631349711266	0.10143317409176758
cluster_ive	delta1b	1.9592070468783451	0.14787245861570936
cluster_ive	delta2	1.152925215551587	0.09265637151427619
cluster_ive	location13	1.1559731081225801	0.09287856904788357
delta1a	delta1b	0.6584230121036527	0.055104988334629484
delta1a	delta2	0.4554141904448735	0.03877346961448728
delta1a	location13	0.4567718959582214	0.038884568381290965
delta1b	delta2	1.1850027321048227	0.09498944561715365
delta1b	location13	1.104361160730935	0.08910121097655815
delta2	location13	1.3904822753750306	0.10965448283524053
alpha	2010.1	59.18296617030601	0.8397955782690812
beta	2010.1	1.1819406066905784	0.09476724808354628
cluster_iv	2010.1	3.030951701173845	0.21164315076102655
cluster_iva	2010.1	4.78172981787162	0.29752249750027776
cluster_ivb	2010.1	0.5955360688529633	0.0501055438284635
cluster_ivc	2010.1	2.169791999234462	0.161204310632152
cluster_ivd	2010.1	1.8342943337922522	0.1397622486390401
cluster_ive	2010.1	1.9299058688777078	0.14598377958004666
delta1a	2010.1	1343.6719830738277	0.9916675924897234
delta1b	2010.1	2.851589843171743	0.2016442617486946
delta2	2010.1	1.9213125237955415	0.14542828574602823
location13	2010.1	2.885124319783249	0.2035329407843573
beta	alpha	1.1194966563546478	0.09021219864459505
cluster_iv	alpha	1.547467708817228	0.120542161982002
cluster_iva	alpha	0.35847737837357596	0.03077435840462171
cluster_ivb	alpha	1105.4368922115266	0.9898900122208644
cluster_ivc	alpha	4.293733873594209	0.27552494167314745
cluster_ivd	alpha	1.790371801417132	0.1368736807021442
cluster_ive	alpha	1.7367152219757493	0.13331852016442616
delta1a	alpha	0.4391461705058538	0.037440284412843014
delta1b	alpha	1.643867896031983	0.1270969892234196
delta2	alpha	1.4732994169232505	0.11543161870903233
location13	alpha	1.434942104759612	0.1127652483057438
cluster_iv	beta	1.0382012524311213	0.08421286523719587
cluster_iva	beta	0.2868183474404875	0.02477502499722253
cluster_ivb	beta	245.98118467029997	0.9561159871125431
cluster_ivc	beta	0.9757041500491955	0.07954671703144095
cluster_ivd	beta	1.3071711734179432	0.10376624819464504
cluster_ive	beta	1.3936476719004682	0.1098766803688479
delta1a	beta	0.47581278439411323	0.040439951116542604
delta1b	beta	1.194198136727156	0.09565603821797578
delta2	beta	1.570212064018547	0.12209754471725363
location13	beta	1.291574705200851	0.10265526052660816
cluster_iva	cluster_iv	0.3986725943290657	0.03410732140873236
cluster_ivb	cluster_iv	1.997319582384742	0.1503166314853905
cluster_ivc	cluster_iv	5.638465504609528	0.33307410287745803
cluster_ivd	cluster_iv	2.604100669773673	0.18742361959782247
cluster_ive	cluster_iv	2.709374237502224	0.19353405177202532
